ID,Name,Team,From,To
96078,Max Melbourne,Stevenage,2021-08-01,2022-01-01
96078,Max Melbourne,Walsall,2021-02-01,2021-06-01
96078,Max Melbourne,Lincoln,2020-01-01,2022-06-01
96078,Max Melbourne,Lincoln,2019-09-01,2020-01-01
96078,Max Melbourne,Partick,2018-07-01,2018-11-01
96078,Max Melbourne,Ross County,2018-01-01,2018-06-01
180763,Max Edgecombe,Exeter,2023-07-01,2024-02-01
90720,Josh Koroma,Portsmouth,2022-09-01,2023-02-01
90720,Josh Koroma,Rotherham,2020-01-01,2020-07-01
90720,Josh Koroma,Huddersfield,2019-06-01,2024-02-01
90720,Josh Koroma,Leyton Orient,2015-07-01,2019-06-01
180510,Alex Borto,Fulham ,2023-08-01,2024-02-01
180510,Alex Borto,Fulham,2023-07-01,2024-02-01
76002,John Swift,West Brom,2022-05-01,2024-02-01
76002,John Swift,Reading,2016-07-01,2022-05-01
76002,John Swift,Brentford,2015-10-01,2016-06-01
76002,John Swift,Swindon,2015-01-01,2015-05-01
76002,John Swift,Rotherham,2014-08-01,2014-11-01
89796,Kyle Cameron,Notts Co,2021-07-01,2024-02-01
89796,Kyle Cameron,Torquay,2018-07-01,2021-07-01
89796,Kyle Cameron,Queen of Sth,2018-01-01,2018-06-01
89796,Kyle Cameron,Newport Co,2016-08-01,2016-12-01
89796,Kyle Cameron,York,2016-01-01,2016-06-01
89796,Kyle Cameron,N'castle ,2015-07-01,2018-06-01
63852,Jordan Roberts,Stevenage,2022-06-01,2024-02-01
63852,Jordan Roberts,Motherwell,2021-08-01,2022-06-01
63852,Jordan Roberts,Motherwell,2021-02-01,2021-06-01
63852,Jordan Roberts,Hearts,2020-08-01,2021-08-01
63852,Jordan Roberts,Gillingham,2020-01-01,2020-07-01
63852,Jordan Roberts,Lincoln,2019-01-01,2019-05-01
63852,Jordan Roberts,Ipswich,2018-07-01,2020-08-01
63852,Jordan Roberts,Crawley,2016-07-01,2018-07-01
63852,Jordan Roberts,Inverness CT,2015-07-01,2016-07-01
110364,Antoine Semenyo,Bournemouth,2023-01-01,2024-02-01
110364,Antoine Semenyo,Sunderland,2020-01-01,2020-07-01
110364,Antoine Semenyo,Newport Co,2018-07-01,2019-01-01
110364,Antoine Semenyo,Bath City,2018-01-01,2018-05-01
96069,Josef Yarney,Tranmere,2023-07-01,2024-02-01
96069,Josef Yarney,Oldham,2023-01-01,2023-07-01
96069,Josef Yarney,Weymouth,2021-10-01,2022-11-01
96069,Josef Yarney,Chesterfield,2019-07-01,2021-10-01
96069,Josef Yarney,Chesterfield,2019-01-01,2019-05-01
96069,Josef Yarney,Morecambe,2018-08-01,2019-01-01
96069,Josef Yarney,N'castle ,2017-07-01,2019-07-01
96069,Josef Yarney,Newcastle,2017-07-01,2019-07-01
96069,Josef Yarney,Everton ,2016-07-01,2017-06-01
123376,Ethan Laird,Birmingham,2023-07-01,2024-02-01
123376,Ethan Laird,QPR,2022-08-01,2023-05-01
123376,Ethan Laird,Bournemouth,2022-01-01,2022-06-01
123376,Ethan Laird,Swansea,2021-08-01,2022-01-01
123376,Ethan Laird,MK Dons,2021-01-01,2021-06-01
77396,Joe Lumley,Southampton,2023-08-01,2024-02-01
77396,Joe Lumley,Reading,2022-06-01,2023-05-01
77396,Joe Lumley,Middlesbrough,2021-05-01,2023-08-01
77396,Joe Lumley,Doncaster,2020-11-01,2021-01-01
77396,Joe Lumley,Gillingham,2020-10-01,2020-11-01
77396,Joe Lumley,Blackpool,2018-01-01,2018-06-01
77396,Joe Lumley,Bristol R,2017-01-01,2017-05-01
77396,Joe Lumley,Stevenage,2015-10-01,2015-11-01
77396,Joe Lumley,Morecambe,2014-11-01,2015-12-01
77396,Joe Lumley,Accrington,2014-08-01,2014-09-01
111277,Liam Millar,Preston,2023-09-01,2024-02-01
111277,Liam Millar,Basel,2021-07-01,2024-02-01
111277,Liam Millar,Charlton,2021-01-01,2021-06-01
111277,Liam Millar,Kilmarnock,2019-08-01,2020-01-01
111277,Liam Millar,Kilmarnock,2019-01-01,2019-05-01
101519,Pervis Estupinan,Brighton,2022-07-01,2024-02-01
101519,Pervis Estupinan,Villarreal,2020-09-01,2022-07-01
101519,Pervis Estupinan,Osasuna,2019-07-01,2020-08-01
101519,Pervis Estupinan,Mallorca,2018-08-01,2019-06-01
101519,Pervis Estupinan,Almeria,2017-07-01,2018-06-01
101519,Pervis Estupinan,Granada,2017-02-01,2018-06-01
101519,Pervis Estupinan,Watford,2016-07-01,2020-09-01
73579,Oli Mc Burnie,Sheff Utd,2019-08-01,2024-02-01
73579,Oli Mc Burnie,Barnsley,2018-01-01,2018-06-01
73579,Oli Mc Burnie,Barnsley,2017-08-01,2017-10-01
73579,Oli Mc Burnie,Swansea ,2016-11-01,2018-01-01
73579,Oli Mc Burnie,Bristol R,2016-03-01,2016-06-01
73579,Oli Mc Burnie,Newport Co,2015-11-01,2015-12-01
73579,Oli Mc Burnie,Swansea,2015-07-01,2019-08-01
73579,Oli Mc Burnie,Chester,2015-01-01,2015-04-01
49022,Alex Mac Donald,Stevenage,2023-06-01,2024-02-01
49022,Alex Mac Donald,Gillingham,2020-08-01,2023-06-01
49022,Alex Mac Donald,Mansfield,2017-01-01,2020-08-01
49022,Alex Mac Donald,Oxford,2015-02-01,2017-01-01
49022,Alex Mac Donald,Burton,2013-07-01,2015-02-01
49022,Alex Mac Donald,Burton,2013-01-01,2013-06-01
49022,Alex Mac Donald,Plymouth,2012-08-01,2012-12-01
49022,Alex Mac Donald,Plymouth,2012-01-01,2012-05-01
49022,Alex Mac Donald,Inverness CT,2011-01-01,2011-05-01
49022,Alex Mac Donald,Falkirk,2009-07-01,2009-12-01
81733,Emmanuel Onariase,Hartlepool,2023-07-01,2024-02-01
81733,Emmanuel Onariase,Dag & Red,2022-03-01,2023-07-01
81733,Emmanuel Onariase,Scunthorpe,2020-08-01,2022-03-01
81733,Emmanuel Onariase,Dag & Red,2019-07-01,2020-08-01
81733,Emmanuel Onariase,Dag & Red,2018-10-01,2019-05-01
81733,Emmanuel Onariase,Cheltenham,2018-01-01,2018-06-01
81733,Emmanuel Onariase,Rotherham,2017-08-01,2019-07-01
81733,Emmanuel Onariase,Cheltenham,2017-01-01,2017-06-01
81733,Emmanuel Onariase,Brentford,2016-07-01,2017-08-01
80876,Matthew Hudson,Oldham,2022-12-01,2024-02-01
80876,Matthew Hudson,Buxton,2022-06-01,2024-02-01
80876,Matthew Hudson,Bury,2018-07-01,2019-01-01
80876,Matthew Hudson,Preston,2014-07-01,2022-07-01
167878,Myles Cowling,Cambridge U,2022-07-01,2024-02-01
51366,Chris Maxwell,Huddersfield,2023-07-01,2024-02-01
51366,Chris Maxwell,Blackpool,2020-01-01,2023-07-01
51366,Chris Maxwell,Hibernian,2019-07-01,2020-01-01
51366,Chris Maxwell,Charlton,2019-01-01,2019-06-01
51366,Chris Maxwell,Preston,2016-06-01,2020-01-01
51366,Chris Maxwell,Cambridge U,2013-07-01,2014-01-01
51366,Chris Maxwell,Wrexham,2013-01-01,2013-05-01
51366,Chris Maxwell,Fleetwood,2012-05-01,2016-06-01
51366,Chris Maxwell,Wrexham,2008-07-01,2012-05-01
166548,James Webster,Shrewsbury,2022-08-01,2024-02-01
111567,Christ Tiehi,Rotherham,2023-08-01,2024-02-01
111567,Christ Tiehi,Wigan,2023-01-01,2023-05-01
111567,Christ Tiehi,Slavia Prague,2022-07-01,2022-11-01
111567,Christ Tiehi,Slovan Liberec,2021-09-01,2023-08-01
111567,Christ Tiehi,Opava,2020-11-01,2021-09-01
111567,Christ Tiehi,Tonbridge,2019-10-01,2020-11-01
111567,Christ Tiehi,Woking,2019-09-01,2019-10-01
111567,Christ Tiehi,Le Havre,1998-03-01,2019-09-01
134571,Elkan Baggott,Bristol R,2024-02-01,2024-02-01
134571,Elkan Baggott,Cheltenham,2023-01-01,2023-03-01
134571,Elkan Baggott,Gillingham,2022-07-01,2023-01-01
134571,Elkan Baggott,King's Lynn,2021-03-01,2021-06-01
134426,Tom Bradbury,Cheltenham,2022-06-01,2024-02-01
165924,Diamond Edwards,Southampton,2022-08-01,2024-02-01
165924,Diamond Edwards,Southampton ,2022-08-01,2024-02-01
125055,Lewis Brunt,Mansfield,2023-08-01,2024-02-01
125055,Lewis Brunt,Leicester,2021-08-01,2024-02-01
125055,Lewis Brunt,Leicester ,2021-08-01,2024-02-01
125055,Lewis Brunt,Gloucester,2020-01-01,2021-06-01
125055,Lewis Brunt,A Villa ,2019-09-01,2021-07-01
145829,Kelvin Abrefa,Reading,2021-11-01,2024-02-01
124943,Noni Madueke,Chelsea,2023-01-01,2024-02-01
124943,Noni Madueke,PSV Eindhoven,2019-08-01,2023-01-01
63162,Tom Lockyer,Luton,2020-09-01,2024-02-01
63162,Tom Lockyer,Charlton,2019-06-01,2020-09-01
183719,Neo Dobson,Northampton,2023-09-01,2024-02-01
62461,Zeki Fryers,Stockport,2021-09-01,2024-02-01
62461,Zeki Fryers,Swindon,2019-06-01,2021-09-01
62461,Zeki Fryers,Barnsley,2017-07-01,2019-06-01
62461,Zeki Fryers,Ipswich,2015-03-01,2015-05-01
62461,Zeki Fryers,Rotherham,2015-01-01,2015-03-01
62461,Zeki Fryers,Crystal Palace,2014-09-01,2017-07-01
62461,Zeki Fryers,Tottenham,2013-07-01,2014-09-01
62461,Zeki Fryers,St Liege,2012-08-01,2013-07-01
180653,Finley Munroe,A Villa ,2023-04-01,2024-02-01
65251,Lee Angol,Sutton Utd,2023-01-01,2024-02-01
65251,Lee Angol,Bradford,2021-06-01,2023-01-01
65251,Lee Angol,Leyton Orient,2019-07-01,2021-06-01
65251,Lee Angol,Lincoln,2019-01-01,2019-05-01
65251,Lee Angol,Shrewsbury,2018-08-01,2019-07-01
65251,Lee Angol,Mansfield,2017-05-01,2018-08-01
65251,Lee Angol,Lincoln,2017-03-01,2017-05-01
65251,Lee Angol,Peterborough,2015-07-01,2017-05-01
65251,Lee Angol,Boreham W,2014-10-01,2015-01-01
65251,Lee Angol,Luton,2014-07-01,2015-07-01
65251,Lee Angol,Wycombe,2012-07-01,2014-07-01
65251,Lee Angol,Tottenham,2011-08-01,2012-07-01
186009,Lucas Sant,Crewe,2023-11-01,2024-02-01
75196,Otis Khan,Hartlepool,2024-01-01,2024-02-01
75196,Otis Khan,Grimsby,2022-07-01,2024-02-01
75196,Otis Khan,Leyton Orient,2022-01-01,2022-07-01
75196,Otis Khan,Walsall,2021-09-01,2022-01-01
75196,Otis Khan,Tranmere,2020-08-01,2021-07-01
75196,Otis Khan,Newport Co,2020-01-01,2020-07-01
75196,Otis Khan,Mansfield,2018-06-01,2020-08-01
75196,Otis Khan,Yeovil,2016-07-01,2018-06-01
75196,Otis Khan,Barnsley,2016-01-01,2016-07-01
75196,Otis Khan,Barrow,2015-10-01,2016-01-01
112190,Slobodan Tedic,Charlton,2023-09-01,2024-02-01
112190,Slobodan Tedic,Barnsley,2022-08-01,2023-05-01
112190,Slobodan Tedic,PEC Zwolle,2020-08-01,2022-06-01
112190,Slobodan Tedic,Man City,2020-07-01,2024-02-01
112190,Slobodan Tedic,Cukaricki,2017-08-01,2024-02-01
144838,Tavonga Kuleya,Doncaster,2021-09-01,2024-02-01
182818,Taylan Harris,Luton,2024-02-01,2024-02-01
182818,Taylan Harris,Reading,2023-08-01,2024-02-01
163602,Luther Munakandafa,Boston Utd,2023-01-01,2023-05-01
163602,Luther Munakandafa,Notts Co,2022-07-01,2024-02-01
182015,Leon Ayinde,Ipswich,2023-08-01,2024-02-01
58269,Josh Ruffles,Huddersfield,2021-07-01,2024-02-01
58269,Josh Ruffles,Oxford,2013-07-01,2021-07-01
54555,Grant Hanley,Norwich,2017-08-01,2024-02-01
54555,Grant Hanley,Newcastle,2016-07-01,2017-08-01
72476,Reece Brown,Forest Green,2022-07-01,2024-02-01
72476,Reece Brown,Peterborough,2022-01-01,2022-05-01
72476,Reece Brown,Peterborough,2020-08-01,2021-06-01
72476,Reece Brown,Peterborough,2020-01-01,2020-07-01
72476,Reece Brown,Huddersfield,2019-07-01,2022-07-01
72476,Reece Brown,Forest Green,2017-06-01,2019-07-01
72476,Reece Brown,Chesterfield,2017-01-01,2017-03-01
72476,Reece Brown,Notts Co,2014-08-01,2014-10-01
53044,Kelvin Mellor,Accrington,2023-07-01,2024-02-01
53044,Kelvin Mellor,Crewe,2022-05-01,2023-07-01
53044,Kelvin Mellor,Carlisle,2021-08-01,2022-05-01
53044,Kelvin Mellor,Morecambe,2020-08-01,2021-08-01
53044,Kelvin Mellor,Bradford,2018-07-01,2020-08-01
53044,Kelvin Mellor,Blackpool,2016-07-01,2018-07-01
53044,Kelvin Mellor,Plymouth,2014-06-01,2016-07-01
53044,Kelvin Mellor,IBV Vestmann,2011-06-01,2011-12-01
170916,Patrick Gamble,Blackburn,2022-12-01,2024-02-01
146871,Bobby Faulkner,Spennymoor,2023-02-01,2023-03-01
146871,Bobby Faulkner,Doncaster,2021-11-01,2024-02-01
45693,Dan Gosling,Notts Co,2023-11-01,2024-02-01
45693,Dan Gosling,Watford,2021-01-01,2023-11-01
45693,Dan Gosling,Bournemouth,2014-07-01,2021-01-01
45693,Dan Gosling,Blackpool,2013-10-01,2014-01-01
45693,Dan Gosling,Newcastle,2010-07-01,2014-07-01
45693,Dan Gosling,Everton,2008-01-01,2010-07-01
145663,Jack Wells Morrison,Crystal Palace ,2021-10-01,2024-02-01
80303,Darnell Furlong,West Brom,2019-07-01,2024-02-01
80303,Darnell Furlong,Swindon,2016-08-01,2017-01-01
80303,Darnell Furlong,Cambridge U,2016-01-01,2016-06-01
80303,Darnell Furlong,Northampton,2015-09-01,2015-11-01
189465,Lewis Fensome,Macclesfield,2024-02-01,2024-02-01
137305,Leo Hjelde,Sunderland,2024-01-01,2024-02-01
137305,Leo Hjelde,Rotherham,2023-01-01,2023-05-01
137305,Leo Hjelde,Leeds ,2021-07-01,2023-08-01
137305,Leo Hjelde,Leeds,2021-07-01,2024-01-01
137305,Leo Hjelde,Ross County,2021-01-01,2021-06-01
137305,Leo Hjelde,Celtic,2021-01-01,2021-07-01
133300,Charlie Winfield,Alfreton,2023-02-01,2023-05-01
133300,Charlie Winfield,Barnsley,2020-09-01,2024-02-01
185685,Johnson Opawole,Blackpool,2023-11-01,2024-02-01
63586,Jamie Walker,Bradford,2022-07-01,2024-02-01
63586,Jamie Walker,Bradford,2022-01-01,2022-05-01
63586,Jamie Walker,Hearts,2019-06-01,2022-07-01
63586,Jamie Walker,Peterborough,2018-08-01,2019-01-01
63586,Jamie Walker,Wigan,2018-01-01,2019-06-01
63586,Jamie Walker,Raith,2011-08-01,2012-05-01
119178,Michael Olise,Crystal Palace,2021-07-01,2024-02-01
119178,Michael Olise,Reading,2019-03-01,2021-07-01
99930,Daniel Mandroiu,Lincoln,2022-07-01,2024-02-01
99930,Daniel Mandroiu,Shamrock R,2020-12-01,2022-07-01
99930,Daniel Mandroiu,Bohemians D.,2019-01-01,2020-12-01
99930,Daniel Mandroiu,Brighton ,2016-07-01,2019-01-01
99930,Daniel Mandroiu,Brighton ,2016-07-01,2019-01-01
144504,Zak Baker,Plymouth,2021-08-01,2024-02-01
53589,Jack Grimmer,Wycombe,2019-07-01,2024-02-01
53589,Jack Grimmer,Coventry,2017-07-01,2019-03-01
53589,Jack Grimmer,Shrewsbury,2016-08-01,2017-05-01
53589,Jack Grimmer,Shrewsbury,2016-01-01,2016-06-01
53589,Jack Grimmer,Shrewsbury,2014-10-01,2014-11-01
53589,Jack Grimmer,Port Vale,2014-01-01,2014-04-01
53589,Jack Grimmer,Fulham,2012-07-01,2017-07-01
53589,Jack Grimmer,Aberdeen,2009-07-01,2012-02-01
66698,Matty Palmer,Notts Co,2021-07-01,2024-02-01
66698,Matty Palmer,Wigan,2020-10-01,2021-01-01
66698,Matty Palmer,Swindon,2020-01-01,2021-07-01
66698,Matty Palmer,Bradford,2019-07-01,2020-01-01
66698,Matty Palmer,Rotherham,2018-01-01,2020-01-01
66698,Matty Palmer,Oldham,2016-01-01,2016-04-01
126933,Christian Saydee,Portsmouth,2023-06-01,2024-02-01
126933,Christian Saydee,Shrewsbury,2022-09-01,2023-05-01
126933,Christian Saydee,Burton,2022-01-01,2022-05-01
126933,Christian Saydee,Weymouth,2020-12-01,2021-02-01
114320,Nick Tsaroulla,Crawley,2020-10-01,2024-02-01
114320,Nick Tsaroulla,Tottenham ,2017-07-01,2020-10-01
66125,Sam Long,Hampton & R,2018-01-01,2018-05-01
66125,Sam Long,Kidderminster,2014-11-01,2014-12-01
145670,Josh Hallard,AFC W'bledon,2021-10-01,2024-02-01
133529,Jonathan Tomkinson,Bradford,2023-08-01,2024-02-01
133529,Jonathan Tomkinson,Stevenage,2023-01-01,2023-05-01
133529,Jonathan Tomkinson,Norwich,2021-12-01,2024-02-01
133529,Jonathan Tomkinson,Norwich ,2020-07-01,2024-02-01
136080,Danny Edwards,Fleetwood,2020-11-01,2024-02-01
74115,Eoghan O Connell,Wrexham,2023-01-01,2024-02-01
74115,Eoghan O Connell,Charlton,2022-07-01,2023-01-01
74115,Eoghan O Connell,Rochdale,2019-07-01,2022-07-01
74115,Eoghan O Connell,Bury,2017-06-01,2019-07-01
74115,Eoghan O Connell,Walsall,2017-01-01,2017-05-01
74115,Eoghan O Connell,Cork City,2016-01-01,2016-06-01
74115,Eoghan O Connell,Oldham,2015-09-01,2016-01-01
160467,Kaan Bennet,Needham M,2022-10-01,2024-02-01
160467,Kaan Bennet,Colchester,2022-05-01,2024-02-01
144255,Matthew Craig,Doncaster,2024-01-01,2024-02-01
144255,Matthew Craig,Tottenham ,2021-09-01,2024-02-01
144255,Matthew Craig,Tottenham,2021-08-01,2024-02-01
154929,Jack Wood,Southend,2022-01-01,2024-02-01
116170,Anthony Mancini,Hartlepool,2023-07-01,2024-02-01
116170,Anthony Mancini,Accrington,2023-02-01,2023-06-01
116170,Anthony Mancini,Burnley,2020-10-01,2022-07-01
116170,Anthony Mancini,Angers,2018-08-01,2020-10-01
59442,Virgilvan Dijk,Liverpool,2018-01-01,2024-02-01
59442,Virgilvan Dijk,Southampton,2015-09-01,2018-01-01
59442,Virgilvan Dijk,Celtic,2013-06-01,2015-09-01
58591,Murray Wallace,Millwall,2018-06-01,2024-02-01
58591,Murray Wallace,Scunthorpe,2016-01-01,2018-06-01
58591,Murray Wallace,Scunthorpe,2015-08-01,2015-11-01
58591,Murray Wallace,Falkirk,2012-02-01,2012-05-01
58591,Murray Wallace,Huddersfield,2012-01-01,2016-01-01
58591,Murray Wallace,Falkirk,2011-03-01,2012-01-01
104461,Cohen Bramall,Rotherham,2022-07-01,2024-02-01
104461,Cohen Bramall,Lincoln,2021-02-01,2022-07-01
104461,Cohen Bramall,Colchester,2019-08-01,2021-02-01
104461,Cohen Bramall,Birmingham,2017-08-01,2018-06-01
104461,Cohen Bramall,Arsenal,2017-07-01,2019-08-01
130358,Lewis Bate,MK Dons,2024-01-01,2024-02-01
130358,Lewis Bate,Oxford,2022-08-01,2023-05-01
130358,Lewis Bate,Leeds ,2021-07-01,2024-02-01
130358,Lewis Bate,Leeds,2021-07-01,2024-02-01
130358,Lewis Bate,Chelsea ,2020-09-01,2024-02-01
100390,Ryan Manning,Southampton,2023-07-01,2024-02-01
100390,Ryan Manning,Swansea,2020-10-01,2023-07-01
100390,Ryan Manning,Rotherham,2018-08-01,2018-12-01
187598,Kevin Mfuamba,West Brom,2024-01-01,2024-02-01
125078,Josh Martin,Portsmouth,2023-11-01,2024-02-01
125078,Josh Martin,Barnsley,2022-08-01,2023-03-01
125078,Josh Martin,Doncaster,2022-01-01,2022-05-01
125078,Josh Martin,MK Dons,2021-07-01,2022-01-01
109813,Tom Knowles,Walsall,2022-08-01,2024-02-01
109813,Tom Knowles,Yeovil,2020-11-01,2022-08-01
109813,Tom Knowles,Chelmsford,2019-10-01,2020-01-01
109813,Tom Knowles,Hemel,2018-11-01,2019-05-01
109813,Tom Knowles,Dartford,2018-08-01,2018-11-01
109813,Tom Knowles,Cambridge U,2017-12-01,2020-11-01
124217,Alex Mighten,Port Vale,2024-02-01,2024-02-01
124217,Alex Mighten,Kortrijk,2023-09-01,2024-01-01
124217,Alex Mighten,Sheff Wed,2022-08-01,2023-01-01
124217,Alex Mighten,Nottm Forest,2019-08-01,2024-02-01
144519,Mickyvande Ven,Tottenham,2023-08-01,2024-02-01
144519,Mickyvande Ven,Wolfsburg,2021-08-01,2023-08-01
145868,Ellis Farrar,Stockport,2023-07-01,2024-02-01
145868,Ellis Farrar,Guiseley,2021-10-01,2023-07-01
94209,James Gibbons,Cambridge U,2024-01-01,2024-02-01
94209,James Gibbons,Bristol R,2022-06-01,2024-02-01
94209,James Gibbons,Port Vale,2016-07-01,2022-06-01
130462,Lewis Montsma,Lincoln,2020-07-01,2024-02-01
154923,Calum Kavanagh,Bradford,2024-02-01,2024-02-01
154923,Calum Kavanagh,Newport Co,2023-01-01,2023-06-01
154923,Calum Kavanagh,Middlesbrough,2022-08-01,2024-02-01
154923,Calum Kavanagh,Harrogate,2022-01-01,2022-08-01
166386,Jack Wadham,Bournemouth,2022-08-01,2024-02-01
144404,Alejandro Garnacho,Man Utd ,2021-07-01,2024-02-01
52337,Danny Batth,Norwich,2023-09-01,2024-02-01
52337,Danny Batth,Sunderland,2022-01-01,2024-02-01
52337,Danny Batth,Stoke,2019-01-01,2022-01-01
52337,Danny Batth,Middlesbrough,2018-08-01,2019-01-01
52337,Danny Batth,Sheff Wed,2011-07-01,2012-05-01
52337,Danny Batth,Sheff Wed,2011-03-01,2011-05-01
52337,Danny Batth,Sheff Utd,2010-11-01,2010-12-01
52337,Danny Batth,Colchester,2009-07-01,2010-08-01
114825,Cheick Doucoure,Crystal Palace,2022-07-01,2024-02-01
114825,Cheick Doucoure,Lens,2018-08-01,2022-07-01
96377,Morgan Gibbs White,Nottm Forest,2022-08-01,2024-02-01
96377,Morgan Gibbs White,Sheff Utd,2021-08-01,2022-06-01
96377,Morgan Gibbs White,Swansea,2020-08-01,2021-01-01
74868,Louis Reed,Mansfield,2023-01-01,2024-02-01
74868,Louis Reed,Swindon,2021-08-01,2023-01-01
74868,Louis Reed,Peterborough,2018-06-01,2021-08-01
74868,Louis Reed,Chesterfield,2017-07-01,2018-06-01
106140,Josh Lundstram,Oldham,2023-06-01,2024-02-01
106140,Josh Lundstram,Altrincham,2022-07-01,2023-06-01
106140,Josh Lundstram,Solihull M,2021-12-01,2022-01-01
106140,Josh Lundstram,Altrincham,2020-01-01,2020-08-01
106140,Josh Lundstram,Nuneaton,2019-01-01,2019-07-01
106140,Josh Lundstram,Crewe,2017-07-01,2022-07-01
144506,Jonah Williams,Newport Co,2021-08-01,2024-02-01
124218,Alfie Mc Calmont,Carlisle,2023-06-01,2024-02-01
124218,Alfie Mc Calmont,Carlisle,2023-01-01,2023-05-01
124218,Alfie Mc Calmont,Leeds ,2022-10-01,2023-06-01
124218,Alfie Mc Calmont,Morecambe,2021-07-01,2022-05-01
124218,Alfie Mc Calmont,Oldham,2020-09-01,2021-06-01
124218,Alfie Mc Calmont,Leeds,2019-08-01,2023-06-01
139204,Lewis Macari,Notts Co,2023-09-01,2024-02-01
139204,Lewis Macari,Dundalk,2022-02-01,2023-01-01
145837,Jack Connor,Northampton,2021-11-01,2024-02-01
68000,Conor Washington,Derby,2023-07-01,2024-02-01
68000,Conor Washington,Rotherham,2022-05-01,2023-07-01
68000,Conor Washington,Charlton,2020-08-01,2022-05-01
68000,Conor Washington,Hearts,2019-06-01,2020-08-01
68000,Conor Washington,Sheff Utd,2018-08-01,2019-06-01
68000,Conor Washington,QPR,2016-01-01,2018-08-01
68000,Conor Washington,Peterborough,2014-01-01,2016-01-01
167605,True Grant,Man City,2023-12-01,2024-02-01
167605,True Grant,Man City ,2022-10-01,2024-02-01
182241,Rayan Kolli,QPR,2023-08-01,2024-02-01
92555,Clement Lenglet,Aston Villa,2023-09-01,2024-02-01
92555,Clement Lenglet,Tottenham,2022-07-01,2023-05-01
92555,Clement Lenglet,Barcelona,2018-07-01,2024-02-01
92555,Clement Lenglet,Sevilla,2017-01-01,2018-07-01
92555,Clement Lenglet,Nancy,2013-09-01,2017-01-01
79114,Macauley Southam,Stockport,2020-09-01,2024-02-01
79114,Macauley Southam,Hartlepool,2020-01-01,2020-07-01
79114,Macauley Southam,Fleetwood,2019-02-01,2020-09-01
79114,Macauley Southam,Barry Town,2017-09-01,2019-02-01
144532,James Mc Connell,Liverpool ,2021-07-01,2024-02-01
71519,Marc Roberts,Birmingham,2017-07-01,2024-02-01
71519,Marc Roberts,Barnsley,2015-05-01,2017-07-01
71519,Marc Roberts,Halifax,2013-08-01,2015-05-01
96077,Jack Earing,Walsall,2021-06-01,2024-02-01
