ID,Name,Team,From,To
185807,Micah Mbick,Charlton,2023-11-01,2024-02-01
94489,Aaron Morley,Bolton,2022-01-01,2024-02-01
94489,Aaron Morley,Rochdale,2016-08-01,2022-01-01
86915,George Edmundson,Ipswich,2021-07-01,2024-02-01
86915,George Edmundson,Derby,2021-02-01,2021-06-01
86915,George Edmundson,Rangers,2019-06-01,2021-07-01
86915,George Edmundson,Fylde,2017-10-01,2018-01-01
86915,George Edmundson,Alfreton,2016-09-01,2017-01-01
86915,George Edmundson,Oldham,2015-07-01,2019-06-01
57203,Jordan Slew,Morecambe,2023-07-01,2024-02-01
57203,Jordan Slew,Halifax,2021-08-01,2023-07-01
57203,Jordan Slew,Morecambe,2020-01-01,2021-08-01
57203,Jordan Slew,Ashton Utd,2019-10-01,2020-01-01
57203,Jordan Slew,Boston Utd,2018-10-01,2019-10-01
57203,Jordan Slew,Rochdale,2017-09-01,2018-01-01
57203,Jordan Slew,Plymouth,2016-06-01,2017-09-01
57203,Jordan Slew,Chesterfield,2016-02-01,2016-06-01
57203,Jordan Slew,Cambridge U,2015-02-01,2016-02-01
57203,Jordan Slew,Port Vale,2014-08-01,2015-11-01
57203,Jordan Slew,Ross County,2014-01-01,2014-05-01
57203,Jordan Slew,Rotherham,2013-01-01,2013-03-01
57203,Jordan Slew,Oldham,2012-08-01,2012-09-01
57203,Jordan Slew,Stevenage,2012-01-01,2012-04-01
57203,Jordan Slew,Blackburn,2011-08-01,2015-02-01
57203,Jordan Slew,Sheff Utd,2010-08-01,2011-08-01
172153,Toby Sims,Harrogate,2023-01-01,2024-02-01
54782,Joel Matip,Liverpool,2016-07-01,2024-02-01
54782,Joel Matip,Schalke,2009-07-01,2016-07-01
46516,Sam Hutchinson,Reading,2022-07-01,2024-02-01
46516,Sam Hutchinson,Sheff Wed,2021-01-01,2022-07-01
46516,Sam Hutchinson,Sheff Wed,2014-07-01,2020-08-01
46516,Sam Hutchinson,Sheff Wed,2014-02-01,2014-05-01
46516,Sam Hutchinson,Vitesse Arn.,2013-09-01,2014-01-01
46516,Sam Hutchinson,Nottm Forest,2013-03-01,2013-05-01
46516,Sam Hutchinson,Nottm Forest,2012-08-01,2012-11-01
46516,Sam Hutchinson,Chelsea,2011-06-01,2014-07-01
48237,Jason Steele,Brighton,2018-07-01,2024-02-01
48237,Jason Steele,Brighton ,2018-02-01,2024-02-01
48237,Jason Steele,Sunderland,2017-07-01,2018-07-01
48237,Jason Steele,Blackburn,2015-01-01,2017-07-01
48237,Jason Steele,Blackburn,2014-09-01,2014-12-01
48237,Jason Steele,Northampton,2010-02-01,2010-06-01
129755,Alhagi Sisay,Accrington,2022-07-01,2024-02-01
129755,Alhagi Sisay,Haverfordwest,2021-08-01,2022-07-01
129755,Alhagi Sisay,Grimsby,2020-08-01,2021-08-01
129755,Alhagi Sisay,Aberystwyth,2020-01-01,2020-08-01
96078,Max Melbourne,Morecambe,2022-06-01,2024-02-01
